Model,R²,Adj. R²,RMSE,MAE,Best,Target,Target_Column
Random Forest (Supervised),0.03154132320029834,2.3102676215525375,27.23672789504223,22.712142857142858,,FATT 50%,FATT_50%
XGBoost (Supervised),0.6809573487720381,1.4316459398966543,15.632871484171384,12.514810494014196,✓,FATT 50%,FATT_50%
Random Forest (Semi-Supervised),-0.05862715689461062,2.4322602710927086,28.47645346916065,23.54584917141916,,FATT 50%,FATT_50%
XGBoost (Semi-Supervised),0.6621293695556421,1.457119088248249,16.087538746507438,13.263429471424647,,FATT 50%,FATT_50%
Random Forest (Supervised),0.6108390229298581,0.19012445312429938,6.226647191149949,4.585125,✓,Primary Ferrite,Primary_Ferrite_%
XGBoost (Supervised),0.4426832948427162,-0.1598212512732664,7.451447513272659,5.206319451332092,,Primary Ferrite,Primary_Ferrite_%
Random Forest (Semi-Supervised),0.31282846082607396,-0.4300596896322244,8.274127296521991,5.679013704723999,,Primary Ferrite,Primary_Ferrite_%
XGBoost (Semi-Supervised),0.4386305875145261,-0.16825526382112121,7.4784912343598124,5.0288263142108915,,Primary Ferrite,Primary_Ferrite_%
Random Forest (Supervised),0.35034138806564485,-0.48792778862384556,17.010253443360792,10.33673907111407,,Ferrite 2nd Phase,Ferrite_2nd_Phase_%
XGBoost (Supervised),0.3736912171638467,-0.4344491477860284,16.701767566247227,10.19982573721144,✓,Ferrite 2nd Phase,Ferrite_2nd_Phase_%
Random Forest (Semi-Supervised),0.3063999135830243,-0.5885679398582346,17.57610966856678,10.286425189159164,,Ferrite 2nd Phase,Ferrite_2nd_Phase_%
XGBoost (Semi-Supervised),0.255198044884823,-0.7058367359089537,18.213297791985788,12.111478964487711,,Ferrite 2nd Phase,Ferrite_2nd_Phase_%
Random Forest (Supervised),0.17006154508807747,-0.9008267838305322,22.604148099519684,15.300890899061951,✓,Acicular Ferrite,Acicular_Ferrite_%
XGBoost (Supervised),-0.22094908121944434,-1.7963672505348565,27.416624016727006,19.138820966084797,,Acicular Ferrite,Acicular_Ferrite_%
Random Forest (Semi-Supervised),-0.6197546777752552,-2.7097607136142945,31.578378181657836,20.898689736298792,,Acicular Ferrite,Acicular_Ferrite_%
XGBoost (Semi-Supervised),0.1282722445395834,-0.9965377625061154,23.166244577418745,15.518196635776096,,Acicular Ferrite,Acicular_Ferrite_%
Random Forest (Supervised),1.0,1.0,0.0,0.0,✓,Martensite,Martensite_%
XGBoost (Supervised),0.0,-1.3333333333333335,0.15687747299671173,0.15687747299671173,,Martensite,Martensite_%
Random Forest (Semi-Supervised),1.0,1.0,0.0,0.0,,Martensite,Martensite_%
XGBoost (Semi-Supervised),0.0,-1.3333333333333335,1.8220250877838202,1.819581601354811,,Martensite,Martensite_%
Random Forest (Supervised),0.05807022717219079,-1.1978361365982213,1.382036273607716,0.7975963003046336,✓,Ferrite Carbide,Ferrite_Carbide_%
XGBoost (Supervised),-0.1010179895283767,-1.5690419755662126,1.494195372800762,0.908276895682017,,Ferrite Carbide,Ferrite_Carbide_%
Random Forest (Semi-Supervised),-0.02429635520656137,-1.3900248288153096,1.4411958183906302,0.6867947223883017,,Ferrite Carbide,Ferrite_Carbide_%
XGBoost (Semi-Supervised),-0.060554545716685615,-1.4746272733389332,1.4664818239328783,0.9992600083351135,,Ferrite Carbide,Ferrite_Carbide_%
